mol_id,reason,detail,retained_id
gdb_4598,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4599,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4600,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4607,uncharacterized,,
gdb_4613,uncharacterized,,
gdb_4623,uncharacterized,,
gdb_4625,uncharacterized,,
gdb_4626,uncharacterized,,
gdb_4627,uncharacterized,,
gdb_4628,uncharacterized,,
gdb_4629,uncharacterized,,
gdb_4635,uncharacterized,,
gdb_4636,uncharacterized,,
gdb_4763,invalid_structure,"Explicit valence for atom # 5 C, 4, is greater than permitted",
gdb_4807,uncharacterized,,
gdb_4871,uncharacterized,,
gdb_4872,uncharacterized,,
gdb_4876,uncharacterized,,
gdb_4879,uncharacterized,,
gdb_4880,uncharacterized,,
gdb_4883,uncharacterized,,
gdb_4885,uncharacterized,,
gdb_4888,uncharacterized,,
gdb_4891,uncharacterized,,
gdb_4892,uncharacterized,,
gdb_4895,uncharacterized,,
gdb_4898,uncharacterized,,
gdb_4899,uncharacterized,,
gdb_4939,uncharacterized,,
gdb_4940,uncharacterized,,
gdb_4994,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4997,uncharacterized,,
gdb_5000,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_5003,uncharacterized,,
gdb_5006,uncharacterized,,
gdb_5011,uncharacterized,,
gdb_5013,uncharacterized,,
gdb_5014,uncharacterized,,
gdb_5016,uncharacterized,,
gdb_5020,uncharacterized,,
gdb_5023,uncharacterized,,
gdb_5026,uncharacterized,,
gdb_5032,uncharacterized,,
gdb_5034,uncharacterized,,
gdb_5040,uncharacterized,,
gdb_5100,uncharacterized,,
gdb_5101,uncharacterized,,
gdb_5279,uncharacterized,,
gdb_5280,uncharacterized,,
gdb_5281,uncharacterized,,
gdb_5292,uncharacterized,,
gdb_5367,uncharacterized,,
gdb_5370,uncharacterized,,
gdb_5373,uncharacterized,,
gdb_5374,uncharacterized,,
gdb_5418,uncharacterized,,
gdb_5419,uncharacterized,,
gdb_5557,uncharacterized,,
gdb_5598,uncharacterized,,
gdb_5599,uncharacterized,,
gdb_5631,uncharacterized,,
gdb_5642,uncharacterized,,
gdb_5730,uncharacterized,,
gdb_6006,uncharacterized,,
gdb_6009,uncharacterized,,
gdb_6035,uncharacterized,,
gdb_6036,uncharacterized,,
gdb_6037,uncharacterized,,
gdb_6041,uncharacterized,,
gdb_6044,uncharacterized,,
gdb_6061,uncharacterized,,
gdb_6062,uncharacterized,,
gdb_6063,uncharacterized,,
gdb_6073,uncharacterized,,
gdb_6074,uncharacterized,,
gdb_6081,uncharacterized,,
gdb_6093,uncharacterized,,
gdb_6096,uncharacterized,,
gdb_6103,uncharacterized,,
gdb_6245,uncharacterized,,
gdb_6253,uncharacterized,,
gdb_6314,uncharacterized,,
gdb_6324,uncharacterized,,
gdb_6330,uncharacterized,,
gdb_6344,uncharacterized,,
gdb_6346,uncharacterized,,
gdb_6358,uncharacterized,,
gdb_6360,uncharacterized,,
gdb_6385,uncharacterized,,
gdb_6398,uncharacterized,,
gdb_6401,uncharacterized,,
gdb_6402,uncharacterized,,
gdb_6406,uncharacterized,,
gdb_6407,uncharacterized,,
gdb_6408,uncharacterized,,
gdb_6493,uncharacterized,,
gdb_6497,uncharacterized,,
gdb_6567,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_6593,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_6594,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_6598,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_6601,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_6603,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_6665,uncharacterized,,
gdb_6684,uncharacterized,,
gdb_6723,uncharacterized,,
gdb_6726,uncharacterized,,
gdb_6733,uncharacterized,,
gdb_6742,uncharacterized,,
gdb_6751,uncharacterized,,
gdb_6755,uncharacterized,,
gdb_6773,uncharacterized,,
gdb_6776,uncharacterized,,
gdb_6779,uncharacterized,,
gdb_6790,uncharacterized,,
gdb_6791,uncharacterized,,
gdb_6792,uncharacterized,,
gdb_6793,uncharacterized,,
gdb_7120,uncharacterized,,
gdb_7207,uncharacterized,,
gdb_7215,uncharacterized,,
gdb_7224,uncharacterized,,
gdb_7225,uncharacterized,,
gdb_7234,uncharacterized,,
gdb_7235,uncharacterized,,
gdb_7236,uncharacterized,,
gdb_7237,uncharacterized,,
gdb_7238,uncharacterized,,
gdb_7245,uncharacterized,,
gdb_7301,uncharacterized,,
gdb_7306,uncharacterized,,
gdb_7316,uncharacterized,,
gdb_7323,uncharacterized,,
gdb_7328,uncharacterized,,
gdb_7333,uncharacterized,,
gdb_7337,uncharacterized,,
gdb_7339,uncharacterized,,
gdb_7360,uncharacterized,,
gdb_7365,uncharacterized,,
gdb_7370,uncharacterized,,
gdb_7376,uncharacterized,,
gdb_7377,uncharacterized,,
gdb_7380,uncharacterized,,
gdb_7384,uncharacterized,,
gdb_7385,uncharacterized,,
gdb_7401,uncharacterized,,
gdb_7403,uncharacterized,,
gdb_7404,uncharacterized,,
gdb_7410,uncharacterized,,
gdb_7417,uncharacterized,,
gdb_7419,uncharacterized,,
gdb_7421,uncharacterized,,
gdb_7423,uncharacterized,,
gdb_7426,uncharacterized,,
gdb_7431,uncharacterized,,
gdb_7441,uncharacterized,,
gdb_7446,uncharacterized,,
gdb_7447,uncharacterized,,
gdb_7448,uncharacterized,,
gdb_7449,uncharacterized,,
gdb_7452,uncharacterized,,
gdb_7566,uncharacterized,,
gdb_7568,uncharacterized,,
gdb_7573,uncharacterized,,
gdb_7574,uncharacterized,,
gdb_7575,uncharacterized,,
gdb_7576,uncharacterized,,
gdb_7606,uncharacterized,,
gdb_7616,uncharacterized,,
gdb_7617,uncharacterized,,
gdb_7618,uncharacterized,,
gdb_7629,uncharacterized,,
gdb_7649,uncharacterized,,
gdb_7659,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_7665,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_7666,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_7858,uncharacterized,,
gdb_7866,uncharacterized,,
gdb_8046,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8047,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8057,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8062,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8065,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8233,uncharacterized,,
gdb_8234,uncharacterized,,
gdb_8235,uncharacterized,,
gdb_8340,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8344,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8349,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8356,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8359,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8364,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8367,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8393,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8396,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8400,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8403,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8491,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8495,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8500,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_8503,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_8505,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_8506,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8511,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_8525,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_8528,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_8531,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_8535,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8587,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8595,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8600,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_8602,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_9196,uncharacterized,,
gdb_9320,uncharacterized,,
gdb_10144,uncharacterized,,
gdb_10249,uncharacterized,,
gdb_10250,uncharacterized,,
gdb_10283,uncharacterized,,
gdb_10289,uncharacterized,,
gdb_10293,uncharacterized,,
gdb_10295,uncharacterized,,
gdb_10322,uncharacterized,,
gdb_10340,uncharacterized,,
gdb_10343,uncharacterized,,
gdb_10348,uncharacterized,,
gdb_10353,uncharacterized,,
gdb_10668,uncharacterized,,
gdb_10712,uncharacterized,,
gdb_10718,uncharacterized,,
gdb_10719,uncharacterized,,
gdb_10720,uncharacterized,,
gdb_10883,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_10884,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11346,uncharacterized,,
gdb_11388,uncharacterized,,
gdb_11608,uncharacterized,,
gdb_11609,uncharacterized,,
gdb_11639,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11640,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11646,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11652,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11654,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11659,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11668,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_11672,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_12916,uncharacterized,,
gdb_13472,uncharacterized,,
gdb_13481,uncharacterized,,
gdb_13515,uncharacterized,,
gdb_13518,uncharacterized,,
gdb_13523,uncharacterized,,
gdb_13527,uncharacterized,,
gdb_13528,uncharacterized,,
gdb_13529,uncharacterized,,
gdb_13530,uncharacterized,,
gdb_13572,uncharacterized,,
gdb_13584,uncharacterized,,
gdb_13759,uncharacterized,,
gdb_13798,uncharacterized,,
gdb_13805,uncharacterized,,
gdb_13806,uncharacterized,,
gdb_13807,uncharacterized,,
gdb_13840,uncharacterized,,
gdb_13850,uncharacterized,,
gdb_13851,uncharacterized,,
gdb_13858,uncharacterized,,
gdb_13865,uncharacterized,,
gdb_13866,uncharacterized,,
gdb_13906,uncharacterized,,
gdb_13912,uncharacterized,,
gdb_13913,uncharacterized,,
gdb_14120,uncharacterized,,
gdb_14183,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14187,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14188,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14357,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14360,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14367,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14368,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14369,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14449,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14455,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14456,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_14490,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14494,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14498,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14501,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14504,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14506,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14510,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14512,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14514,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14516,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14518,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_14521,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_16427,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_16431,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_16432,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_16437,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_16440,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_16456,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_16459,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_16461,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_16465,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_16467,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_16469,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17024,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17025,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17032,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17037,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17042,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17055,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17058,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17059,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17065,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17069,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17142,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17145,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17146,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17152,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17156,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17157,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17158,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17162,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17165,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17166,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17167,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17171,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17174,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17175,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17176,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17179,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17182,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17185,invalid_structure,"Explicit valence for atom # 5 C, 5, is greater than permitted",
gdb_17186,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17187,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17191,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17192,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17260,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_17373,uncharacterized,,
gdb_17600,uncharacterized,,
gdb_17601,uncharacterized,,
gdb_17602,uncharacterized,,
gdb_17603,uncharacterized,,
gdb_17639,uncharacterized,,
gdb_17649,uncharacterized,,
gdb_17650,uncharacterized,,
gdb_17651,uncharacterized,,
gdb_17688,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17692,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17694,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_17714,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17720,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_17727,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17728,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_17732,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17736,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17738,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17741,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17764,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17767,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17771,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17773,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17777,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17779,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17781,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17784,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17786,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17788,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17791,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17801,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17805,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17811,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17813,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17838,uncharacterized,,
gdb_17845,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17847,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17849,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17859,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17860,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17863,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_17865,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_18944,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_18948,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_18952,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_18955,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_18959,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_18962,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
